Storage_ID,Storage_SSD,Storage_HDD,Storage_Hybrid,Storage_Flash,Storage_Total
1,256,0,0,0,256
2,0,1024,0,0,1024
3,512,1024,0,0,1536
4,0,500,0,0,500
5,512,0,0,0,512
6,0,0,0,64,64
7,128,1024,0,0,1152
8,128,0,0,0,128
9,256,2048,0,0,2304
10,0,2048,0,0,2048
11,0,0,0,256,256
12,256,1024,0,0,1280
13,0,0,0,128,128
14,0,0,1024,0,1024
15,128,2048,0,0,2176
16,32,0,0,0,32
17,0,0,0,32,32
18,0,0,0,16,16
19,768,0,0,0,768
20,1024,0,0,0,1024
21,1,0,0,0,1
22,0,128,0,0,128
23,256,500,0,0,756
24,512,2048,0,0,2560
25,0,0,0,512,512
26,0,0,508,0,508
27,256,0,1024,0,1280
28,1024,1024,0,0,2048
29,0,1024,0,64,1088
30,16,0,0,0,16
31,512,0,1024,0,1536
32,64,0,0,0,64
33,8,0,0,0,8
34,0,32,0,0,32
35,240,0,0,0,240
